t,p,sd_p,lsd_p,tc,mld,dmld,light,n0
1792.98429,0.687742189,0.807617358,0.930953533,1789,51.7950058,1.200025082,28.82299684,3.030931999
1801.004435,0.792739019,0.87484966,0.892498835,1797,61.39520645,0.955497265,26.11175495,3.571789438
NaN,NaN,NaN,NaN,1805,69.03918457,0.547949791,24.89302871,4.467255055
NaN,NaN,NaN,NaN,1813,73.4227829,0.547949791,22.70029063,5.099153452
NaN,NaN,NaN,NaN,1821,77.80638123,-2.464056015,21.65601427,5.667549998
NaN,NaN,NaN,NaN,1826,58.09393311,-0.625612736,21.98795362,3.265472124
NaN,NaN,NaN,NaN,1834,53.08903122,-0.461191654,22.52099492,2.586122923
NaN,NaN,NaN,NaN,1842,49.39949799,-0.461192131,22.47011371,2.127912775
NaN,NaN,NaN,NaN,1850,45.70996094,-0.461192131,23.65976497,1.941227423
NaN,NaN,NaN,NaN,1858,42.02042389,2.875059128,25.75074062,1.813947913
NaN,NaN,NaN,NaN,1866,65.02089691,12.883811,30.2864375,4.541213786
NaN,NaN,NaN,NaN,1874,168.0913849,12.88381386,36.97852873,10.7428605
NaN,NaN,NaN,NaN,1882,271.1618958,12.88381195,50.08892179,15.54663263
NaN,NaN,NaN,NaN,1890,374.2323914,-5.20451355,58.00216218,22.80308717
NaN,NaN,NaN,NaN,1898,332.596283,-11.23395538,60.27001063,19.64726155
NaN,NaN,NaN,NaN,1906,242.7246399,-11.23395538,63.58698126,14.42207091
NaN,NaN,NaN,NaN,1914,152.8529968,-11.23395395,64.5949139,12.32740647
NaN,NaN,NaN,NaN,1922,62.9813652,-2.389176369,70.15308091,3.814590169
NaN,NaN,NaN,NaN,1930,43.86795425,-1.125636101,81.21853372,2.351382443
NaN,NaN,NaN,NaN,1938,34.86286545,-1.125636578,85.1896914,2.34154374
NaN,NaN,NaN,NaN,1946,25.85777283,-1.00320673,97.4980996,2.441631973
NaN,NaN,NaN,NaN,1954,17.83211899,-0.14620018,100.366831,2.683805678
NaN,NaN,NaN,NaN,1962,16.66251755,-0.146199942,98.42849896,2.930495499
NaN,NaN,NaN,NaN,1970,15.49291801,-0.14620018,101.9635319,3.179418819
NaN,NaN,NaN,NaN,1978,14.32331657,-0.121456265,102.3681588,3.393094844
NaN,NaN,NaN,NaN,1986,13.35166645,-0.04722476,107.5822718,3.332970389
NaN,NaN,NaN,NaN,1994,12.97386837,-0.047224879,116.0479368,3.249537318
NaN,NaN,NaN,NaN,2002,12.59606934,-0.047224879,120.690242,3.162054266
NaN,NaN,NaN,NaN,2010,12.2182703,-0.009840012,121.6666767,3.137269822
NaN,NaN,NaN,NaN,2018,12.13955021,0.027544737,122.7206448,3.218565445
NaN,NaN,NaN,NaN,2026,12.3599081,0.027544737,120.5230608,3.296044392
NaN,NaN,NaN,NaN,2034,12.580266,0.027544737,111.0591549,3.373580206
NaN,NaN,NaN,NaN,2042,12.80062389,0.026639223,108.4690587,3.410992201
NaN,NaN,NaN,NaN,2050,13.01373768,0.026095867,104.5439364,3.408328279
NaN,NaN,NaN,NaN,2058,13.22250462,0.026095867,104.5148614,3.405718692
NaN,NaN,NaN,NaN,2066,13.43127155,0.026095867,104.6456989,3.403109106
NaN,NaN,NaN,NaN,2074,13.64003849,0.064179778,104.4542886,4.274850209
NaN,NaN,NaN,NaN,2082,14.15347672,0.076874375,96.42717117,5.668194298
NaN,NaN,NaN,NaN,2090,14.76847172,0.076874375,86.38661141,7.061510652
NaN,NaN,NaN,NaN,2098,15.38346672,0.076874375,74.78569439,8.456007797
NaN,NaN,NaN,NaN,2106,15.99846172,0.808440804,63.43433761,7.924482922
NaN,NaN,NaN,NaN,2114,22.46598816,0.808440924,59.07551353,7.067833257
NaN,NaN,NaN,NaN,2122,28.93351555,0.808440924,52.64509712,6.206289678
NaN,NaN,NaN,NaN,2130,35.40104294,0.840565205,45.30124176,5.228094488
NaN,NaN,NaN,NaN,2138,42.12556458,1.065438271,39.32633337,4.335915938
NaN,NaN,NaN,NaN,2146,50.64907074,1.065437794,33.06309809,3.538188078
NaN,NaN,NaN,NaN,2154,59.17257309,1.065437794,28.37233465,3.691548885
NaN,NaN,NaN,NaN,2162,67.69607544,0.430337906,24.93179535,4.225087925
NaN,NaN,NaN,NaN,2170,71.13877869,-0.628162384,21.30469159,4.702786168
NaN,NaN,NaN,NaN,2178,66.11347961,-0.628162861,20.73772948,4.217104457
NaN,NaN,NaN,NaN,2186,61.08817673,4.928646564,20.03992996,3.646037558
NaN,NaN,NaN,NaN,2191,100.5173492,1.321640968,18.80908914,7.272886279
NaN,NaN,NaN,NaN,2199,111.090477,-1.061009407,20.35490892,7.785532867
NaN,NaN,NaN,NaN,2207,102.6024017,-1.061010361,22.3077784,7.714413141
NaN,NaN,NaN,NaN,2215,94.11431885,-1.061010361,24.6337768,7.303712597
NaN,NaN,NaN,NaN,2223,85.62623596,-1.197337151,26.80470864,6.630095976
NaN,NaN,NaN,NaN,2231,76.04753876,-1.606318474,32.68270043,5.975173614
NaN,NaN,NaN,NaN,2239,63.19699097,-1.606318474,35.24372159,4.545032883
NaN,NaN,NaN,NaN,2247,50.34644318,-1.606318474,40.74131572,3.070746129
NaN,NaN,NaN,NaN,2255,37.49589539,-0.586675167,48.93561425,2.590022013
NaN,NaN,NaN,NaN,2263,32.80249405,-0.246793985,53.27990085,2.216092442
NaN,NaN,NaN,NaN,2271,30.82814217,-0.246793985,57.09114614,1.950896653
NaN,NaN,NaN,NaN,2279,28.85379028,-0.246793985,60.58498957,1.71863031
NaN,NaN,NaN,NaN,2287,26.8794384,0.034698486,71.04955946,1.767054417
NaN,NaN,NaN,NaN,2295,27.15702629,0.074911594,79.24870382,1.986592627
NaN,NaN,NaN,NaN,2303,27.75631905,0.074911594,81.33241072,2.207734052
NaN,NaN,NaN,NaN,2311,28.3556118,0.024636269,92.01262004,2.428044457
NaN,NaN,NaN,NaN,2319,28.55270195,-0.327290773,112.3626831,2.632777076
NaN,NaN,NaN,NaN,2327,25.93437576,-0.327291012,111.967748,2.824005507
NaN,NaN,NaN,NaN,2335,23.31604767,-0.327291012,103.0708041,3.019017836
NaN,NaN,NaN,NaN,2343,20.69771957,-0.301501513,106.9401994,3.217814071
NaN,NaN,NaN,NaN,2351,18.28570747,-0.22413373,106.4265414,3.207554475
NaN,NaN,NaN,NaN,2359,16.49263763,-0.224133492,112.9902181,3.18249477
NaN,NaN,NaN,NaN,2367,14.6995697,-0.224133611,122.9096321,3.138213324
NaN,NaN,NaN,NaN,2375,12.90650082,-0.121981144,125.9019321,3.118309247
NaN,NaN,NaN,NaN,2383,11.93065166,-0.019828439,121.4001561,3.211212924
NaN,NaN,NaN,NaN,2391,11.77202415,-0.019828439,122.4977366,3.293478145
NaN,NaN,NaN,NaN,2399,11.61339664,-0.019828439,111.2214902,3.375702429
NaN,NaN,NaN,NaN,2407,11.45476913,0.080391884,114.674144,3.427815386
NaN,NaN,NaN,NaN,2415,12.09790421,0.140524149,114.7444086,3.419776197
NaN,NaN,NaN,NaN,2423,13.2220974,0.140524149,109.4236872,3.405723783
NaN,NaN,NaN,NaN,2431,14.34629059,0.140524149,99.83378966,3.391671368
NaN,NaN,NaN,NaN,2439,15.47048378,0.295614243,93.53663358,4.077978118
NaN,NaN,NaN,NaN,2447,17.83539772,0.34731102,76.05045602,5.452540501
NaN,NaN,NaN,NaN,2455,20.61388588,0.347310781,70.7660784,6.8306177
NaN,NaN,NaN,NaN,2463,23.39237213,0.34731102,63.83169567,8.19628345
NaN,NaN,NaN,NaN,2471,26.17086029,0.467761278,63.25019608,7.910134074
NaN,NaN,NaN,NaN,2479,29.91295052,0.467761278,56.87792962,7.07685947
NaN,NaN,NaN,NaN,2487,33.65504074,0.467761517,54.24422102,6.192260242
NaN,NaN,NaN,NaN,2495,37.39713287,0.499372005,46.77195116,5.26336748
NaN,NaN,NaN,NaN,2503,41.39210892,0.720647812,39.78668721,4.440291371
NaN,NaN,NaN,NaN,2511,47.15729141,0.720647335,30.9818141,3.635727532
NaN,NaN,NaN,NaN,2519,52.92247009,0.720647335,26.67629415,3.203570262
NaN,NaN,NaN,NaN,2527,58.68764877,1.053556919,23.3399402,3.289188493
NaN,NaN,NaN,NaN,2535,67.11610413,1.608407021,24.11769591,4.240703772
NaN,NaN,NaN,NaN,2543,79.98336029,1.608406067,21.67782051,5.770536104
NaN,NaN,NaN,NaN,2551,92.85060883,1.540177345,22.71240521,6.892356473
NaN,NaN,NaN,NaN,2557,105.1720276,-8.725822449,22.49434286,7.42481498
NaN,NaN,NaN,NaN,2565,35.365448,0.698600292,22.51372618,1.367740997
NaN,NaN,NaN,NaN,2573,40.95425034,1.312087536,23.14368408,1.691620384
NaN,NaN,NaN,NaN,2581,51.45095062,2.728643417,25.28311802,2.348891275
NaN,NaN,NaN,NaN,2589,73.28009796,-0.533135414,30.85097669,5.389006537
NaN,NaN,NaN,NaN,2597,69.01501465,-0.968812466,31.86133225,5.09131221
NaN,NaN,NaN,NaN,2605,61.26451492,-1.471980572,35.14438207,4.315641253
NaN,NaN,NaN,NaN,2613,49.48867035,5.699374199,44.48229648,3.040011161
NaN,NaN,NaN,NaN,2621,95.08366394,-0.135587692,56.18982176,8.06107581
NaN,NaN,NaN,NaN,2629,93.9989624,-5.368423462,61.95878238,7.86952378
NaN,NaN,NaN,NaN,2637,51.05157471,1.702430725,62.86979842,2.674257272
NaN,NaN,NaN,NaN,2645,64.67102051,-0.900658607,67.70593676,4.010125221
NaN,NaN,NaN,NaN,2653,57.46575165,-0.204468727,80.18637193,3.193664458
NaN,NaN,NaN,NaN,2661,55.83000183,0.670054436,82.18043097,3.133340255
NaN,NaN,NaN,NaN,2669,61.19043732,-0.813840866,83.00664498,3.832830111
NaN,NaN,NaN,NaN,2677,54.67971039,-3.118017673,96.8851021,3.260433649
NaN,NaN,NaN,NaN,2685,29.735569,-1.169638634,110.5091532,2.663537339
NaN,NaN,NaN,NaN,2693,20.37845993,0.514490843,113.0556368,2.827496748
NaN,NaN,NaN,NaN,2701,24.49438667,-0.3230865,113.1452847,3.048527018
NaN,NaN,NaN,NaN,2709,21.90969467,2.344024658,118.0977229,3.21473545
NaN,NaN,NaN,NaN,2717,40.66189194,-3.129468322,112.7018912,3.519643705
NaN,NaN,NaN,NaN,2725,15.62614536,-0.069166064,117.3975005,3.191956384
NaN,NaN,NaN,NaN,2733,15.07281685,-0.122174025,122.5340803,3.121559445
NaN,NaN,NaN,NaN,2741,14.09542465,-0.129540443,111.3232526,3.112957645
NaN,NaN,NaN,NaN,2749,13.0591011,0.064561963,102.4941503,3.206774429
NaN,NaN,NaN,NaN,2757,13.57559681,0.020498633,104.5899718,3.280612989
NaN,NaN,NaN,NaN,2765,13.73958588,-0.00645566,116.2272326,3.359013913
NaN,NaN,NaN,NaN,2773,13.6879406,-0.082079768,112.1155458,3.399900743
NaN,NaN,NaN,NaN,2781,13.03130245,0.011412263,111.7084961,3.408108719
NaN,NaN,NaN,NaN,2789,13.12260056,0.094361782,107.0201556,3.406967493
NaN,NaN,NaN,NaN,2797,13.87749481,-0.051260233,97.98752843,3.397531315
