lon,lat,w_median,w_lb68,w_ub68,w_lb95,w_ub95
-88.5,14.5,0.875937,0.83214015,0.91973385,0.7883433,0.9635307
77.5,54.5,0.881085,0.83703075,0.92513925,0.7929765,0.9691935
-56.5,-33.5,0.890147,0.84563965,0.93465435,0.8011323,0.9791617
31.5,11.5,0.896486,0.8516617,0.9413103,0.8068374,0.9861346
122.5,52.5,0.900448,0.8554256,0.9454704,0.8104032,0.9904928
36.5,56.5,0.914169,0.86846055,0.95987745,0.8227521,1.0055859
-103.5,28.5,0.915344,0.8695768,0.9611112,0.8238096,1.0068784
129.5,41.5,0.931049,0.88449655,0.97760145,0.8379441,1.0241539
-53.5,-18.5,0.939264,0.8923008,0.9862272,0.8453376,1.0331904
83.5,37.5,0.941134,0.8940773,0.9881907,0.8470206,1.0352474
114.5,46.5,0.941595,0.89451525,0.98867475,0.8474355,1.0357545
82.5,54.5,0.94315,0.8959925,0.9903075,0.848835,1.037465
14.5,-21.5,0.946536,0.8992092,0.9938628,0.8518824,1.0411896
96.5,20.5,0.947798,0.9004081,0.9951879,0.8530182,1.0425778
37.5,9.5,0.9492,0.90174,0.99666,0.85428,1.04412
81.5,36.5,0.950827,0.90328565,0.99836835,0.8557443,1.0459097
18.5,-10.5,0.952113,0.90450735,0.99971865,0.8569017,1.0473243
35.5,-13.5,0.953699,0.90601405,1.00138395,0.8583291,1.0490689
11.5,12.5,0.955457,0.90768415,1.00322985,0.8599113,1.0510027
39.5,4.5,0.955844,0.9080518,1.0036362,0.8602596,1.0514284
70.5,50.5,0.96002,0.912019,1.008021,0.864018,1.056022
-72.5,-51.5,0.963854,0.9156613,1.0120467,0.8674686,1.0602394
34.5,32.5,0.966577,0.91824815,1.01490585,0.8699193,1.0632347
12.5,-16.5,0.971027,0.92247565,1.01957835,0.8739243,1.0681297
92.5,55.5,0.974521,0.92579495,1.02324705,0.8770689,1.0719731
-94.5,48.5,0.974657,0.92592415,1.02338985,0.8771913,1.0721227
118.5,37.5,0.974781,0.92604195,1.02352005,0.8773029,1.0722591
-84.5,45.5,0.974876,0.9261322,1.0236198,0.8773884,1.0723636
-108.5,27.5,0.977516,0.9286402,1.0263918,0.8797644,1.0752676
-93.5,31.5,0.977554,0.9286763,1.0264317,0.8797986,1.0753094
17.5,-11.5,0.987621,0.93823995,1.03700205,0.8888589,1.0863831
-50.5,-28.5,0.999348,0.9493806,1.0493154,0.8994132,1.0992828
36.5,40.5,0.999916,0.9499202,1.0499118,0.8999244,1.0999076
24.5,-6.5,1.001865,0.95177175,1.05195825,0.9016785,1.1020515
58.5,35.5,1.010705,0.96016975,1.06124025,0.9096345,1.1117755
97.5,26.5,1.018725,0.96778875,1.06966125,0.9168525,1.1205975
60.5,52.5,1.019072,0.9681184,1.0700256,0.9171648,1.1209792
-91.5,48.5,1.024889,0.97364455,1.07613345,0.9224001,1.1273779
111.5,23.5,1.028049,0.97664655,1.07945145,0.9252441,1.1308539
13.5,6.5,1.044345,0.99212775,1.09656225,0.9399105,1.1487795
81.5,48.5,1.048127,0.99572065,1.10053335,0.9433143,1.1529397
