Lon,Lat,wheat
-96.5,36.5,2.751635
120.5,49.5,2.805997
-120.5,44.5,2.81096
95.5,35.5,2.828149
29.5,-25.5,2.828557
126.5,35.5,2.84622
-99.5,39.5,2.886651
40.5,46.5,2.893294
123.5,49.5,2.897562
116.5,40.5,2.898772
24.5,53.5,2.90802
42.5,46.5,2.915758
20.5,45.5,2.918844
-82.5,38.5,2.936633
-88.5,44.5,2.942185
-50.5,-17.5,2.948875
-101.5,18.5,2.969875
10.5,43.5,2.988975
108.5,41.5,2.991328
-91.5,37.5,3.104107
105.5,30.5,3.121775
-76.5,40.5,3.124186
-121.5,42.5,3.129902
-113.5,53.5,3.139864
88.5,43.5,3.188992
22.5,51.5,3.201961
0.5,41.5,3.20386
-80.5,34.5,3.204907
30.5,49.5,3.262505
101.5,29.5,3.278509
-48.5,-19.5,3.279308
16.5,46.5,3.29278
-6.5,40.5,3.308235
80.5,25.5,3.317559
-86.5,38.5,3.329655
17.5,-22.5,3.330527
25.5,49.5,3.335104
-94.5,37.5,3.340433
-79.5,36.5,3.352315
119.5,44.5,3.372407
5.5,43.5,3.397281
99.5,37.5,3.402737
-77.5,35.5,3.441389
104.5,29.5,3.452538
82.5,43.5,3.469732
32.5,-13.5,3.47418
16.5,59.5,3.479027
87.5,43.5,3.491679
15.5,52.5,3.495789
-106.5,28.5,3.606785
-70.5,-34.5,3.633262
121.5,43.5,3.710108
76.5,36.5,3.742331
-78.5,38.5,3.820449
120.5,36.5,3.836762
-85.5,39.5,3.947933
100.5,34.5,3.965246
-72.5,-38.5,3.967718
79.5,40.5,4.084594
-73.5,-39.5,4.084659
-109.5,26.5,4.09384
2.5,44.5,4.174763
31.5,-21.5,4.187365
-90.5,39.5,4.266823
17.5,47.5,4.277737
-87.5,39.5,4.296071
26.5,-26.5,4.310403
103.5,30.5,4.335649
98.5,38.5,4.398165
115.5,32.5,4.442976
-89.5,42.5,4.556067
30.5,-20.5,4.586374
113.5,34.5,4.632514
-108.5,38.5,4.713132
114.5,35.5,4.759607
13.5,-18.5,4.840079
-7.5,54.5,4.84667
-71.5,-34.5,4.847186
22.5,-15.5,4.875993
31.5,-10.5,4.89443
112.5,31.5,4.985676
119.5,32.5,5.071694
91.5,33.5,5.097232
-122.5,38.5,5.139651
-107.5,28.5,5.202311
16.5,-23.5,5.223554
13.5,51.5,5.31073
24.5,-17.5,5.347367
-123.5,44.5,5.354432
27.5,-19.5,5.377384
-117.5,41.5,5.401372
11.5,49.5,5.510558
-118.5,43.5,5.51716
-113.5,42.5,5.583115
8.5,47.5,5.69663
29.5,-14.5,5.946138
6.5,48.5,6.064973
-112.5,32.5,6.080154
3.5,46.5,6.132891
-0.5,48.5,6.287308
-1.5,47.5,6.483491
12.5,50.5,6.54486
-9.5,52.5,6.690888
4.5,46.5,6.739941
-3.5,54.5,6.741332
1.5,49.5,8.044737
